"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","45/1351","226/9521",0.199115044247788,1.40323785069074,2.49474369780023,0.0104280694984371,0.055467874637445,0.0423095916380206,"116/5143/5058/1387/491/5567/482/5894/818/805/6662/2893/5601/2778/488/5727/801/5465/492/10411/2737/4792/6750/5602/107/5139/116443/90993/6751/476/477/478/7253/2903/2902/1128/1392/4301/673/7434/387/10846/814/779/2892",45
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","46/1351","232/9521",0.198275862068966,1.39732382143495,2.49137576368465,0.0104533383300873,0.055467874637445,0.0423095916380206,"3679/2260/5058/7430/5894/51571/2768/8395/221178/998/79784/26999/10094/9138/4628/7852/3693/2934/2261/5962/3985/3689/3827/8874/3655/10097/1128/1131/5156/2263/5747/673/387/5829/10152/10788/128239/3672/2253/10163/340156/1072/3696/200576/4660/3691",46
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","10/1351","32/9521",0.3125,2.20230384900074,2.77021912818117,0.0106112455828156,0.055467874637445,0.0423095916380206,"1629/32/3939/3945/8803/1738/84532/55862/23417/84693",10
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","24/1351","105/9521",0.228571428571429,1.61082795812626,2.55926614639829,0.0108965002119646,0.0561088443750414,0.0427985082952261,"3679/7170/783/1837/4000/5567/2778/7042/3693/488/3479/107/6547/785/1605/3655/7168/55799/3672/183/7169/779/3696/3691",24
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","19/1351","78/9521",0.243589743589744,1.71666761563135,2.58431356506197,0.011288148509658,0.0572707534681176,0.0436847852540943,"2026/9125/80349/9652/51013/25904/5393/23658/246175/27258/170506/10766/25804/80336/23517/80153/4849/28960/51691",19
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","26/1351","117/9521",0.222222222222222,1.56608273706719,2.50525335368102,0.0119759919012872,0.0598799595064361,0.0456750263206988,"4190/2805/5634/2271/5230/8803/2026/2806/10873/6390/1738/84532/2821/3421/4200/39/29968/6120/5162/3420/2645/414328/5723/3419/3099/84693",26
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","9/1351","28/9521",0.321428571428571,2.26522681611505,2.72634482319331,0.0124037574752494,0.0611328046994436,0.0466306672001858,"529/51382/526/10723/528/10312/534/8992/523",9
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","19/1351","79/9521",0.240506329113924,1.69493764581323,2.52210118816748,0.0129429001070941,0.062891556858415,0.0479722020277765,"1213/529/6616/51382/526/6857/26052/10814/4905/51606/6511/528/10312/534/8992/523/140679/23025/160",19
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","42/1351","212/9521",0.19811320754717,1.39617753446085,2.37214581070681,0.0141537486088539,0.0678200454174247,0.0517315373130623,"5228/5900/56288/2260/5894/5579/260425/805/998/4254/25865/2778/1969/801/3643/51466/9223/10411/2261/285/3479/107/5330/5332/3689/5331/1946/2903/284/2902/5156/2263/4301/673/387/8631/5603/2253/3937/3082/7408/5028",42
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","22/1351","97/9521",0.22680412371134,1.59837310277992,2.40865951124976,0.0157003656491301,0.0742003582047928,0.0565982900112836,"2983/491/5567/482/5579/805/2778/801/492/3708/55503/107/5330/5332/6263/5331/476/477/478/1131/2977/6779",22
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","29/1351","138/9521",0.210144927536232,1.48096954483528,2.31430920663736,0.0177272263361265,0.0826472038643735,0.0630413454343047,"2872/10580/5576/32/2308/5567/5894/805/5792/10603/5601/801/3643/3551/5573/5602/2475/23265/3636/10891/6009/6194/90673/673/2645/9021/10211/7249/3099",29
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","21/1351","93/9521",0.225806451612903,1.59134213605215,2.3302667239496,0.018857982830297,0.0856053167954271,0.0652977244816378,"10580/56288/2260/1387/2534/998/5792/117178/83439/3643/2064/5787/52/51701/25945/4301/387/4008/6885/10163/1457",21
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","21/1351","93/9521",0.225806451612903,1.59134213605215,2.3302667239496,0.018857982830297,0.0856053167954271,0.0652977244816378,"5567/5894/5579/818/1958/805/998/5609/6416/5601/2778/801/3708/5602/107/5330/5332/5331/5603/5321/779",21
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","61/1351","333/9521",0.183183183183183,1.2909600940689,2.19775953228697,0.0195219925935938,0.0863536573196336,0.0658685410523521,"3679/1856/23513/56288/2308/1387/3455/529/7132/5567/51382/526/5894/55012/1277/5933/998/8313/2778/7337/3693/4853/51606/84441/5515/83439/3551/9223/528/3912/10312/534/55844/3133/545/2475/8992/523/90993/3955/3655/7157/3065/8900/6009/3996/472/5747/5743/5829/3993/3280/1741/4242/3672/1293/1284/3696/7249/182/3691",61
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","22/1351","99/9521",0.222222222222222,1.56608273706719,2.30229557548288,0.0197138259415847,0.0863536573196336,0.0658685410523521,"5567/5579/818/3356/805/5601/2778/55515/801/3708/3479/5602/107/5330/5332/5331/3827/3554/5583/5603/5321/5588",22
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","9/1351","30/9521",0.3,2.11421169504071,2.48546398055725,0.0197737360239161,0.0863536573196336,0.0658685410523521,"4190/2271/8803/6390/1738/3421/5162/3420/3419",9
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","32/1351","157/9521",0.203821656050955,1.43640709641832,2.24205389559106,0.0202245003234756,0.0872181576449886,0.0665279615903803,"292/2308/28996/677/5894/805/291/5933/678/5928/7042/891/801/5530/3133/3708/545/2475/7419/5532/7416/8878/7157/5534/8900/6009/472/5603/5481/10758/5533/7249",32
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","32/1351","158/9521",0.20253164556962,1.42731591226377,2.20244573817708,0.0220260563306773,0.0938146843714031,0.0715596372016805,"1856/529/7132/54541/51256/51382/526/5894/5579/201163/10670/6794/6446/51606/3643/3551/528/534/6196/3479/2475/523/81929/28956/6009/54468/6194/10325/673/387/7249/253260",32
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","20/1351","89/9521",0.224719101123595,1.58367917231514,2.24958508629519,0.0226614307870422,0.0945071790072288,0.0720878558407543,"3679/9899/1277/3693/56955/22987/3912/1605/3655/960/80144/948/6385/3672/1293/1284/3696/6382/255743/3691",20
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","23/1351","106/9521",0.216981132075472,1.52914682345712,2.22768655765838,0.0227505492533935,0.0945071790072288,0.0720878558407543,"8766/491/482/5579/1056/2778/488/492/3708/5646/107/5330/5332/5331/476/885/477/478/5874/3784/1131/387/8399",23
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","18/1351","78/9521",0.230769230769231,1.62631668849285,2.25850684305147,0.0230104435843688,0.0945071790072288,0.0720878558407543,"3707/9896/8395/51477/64419/5286/8867/5330/5332/5331/3636/51763/9110/8898/8821/200576/8776/9107",18
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","32/1351","159/9521",0.20125786163522,1.41833908262689,2.16310600972958,0.0239516212830782,0.0970615474629883,0.0740362680877104,"10383/10376/10381/529/1780/7846/51143/51382/526/84790/203068/1778/7277/3693/51606/528/10312/3920/534/3133/113457/7280/8992/523/3689/3126/1781/948/11151/10333/84617/200576",32
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","15/1351","62/9521",0.241935483870968,1.70500943148444,2.26466140817163,0.0241950524110637,0.0970615474629883,0.0740362680877104,"9253/1856/1387/9612/1488/4853/84441/3955/3065/7090/55851/3280/4242/1487/182",15
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","6/1351","17/9521",0.352941176470588,2.48730787651848,2.49578543089482,0.0247267111835071,0.0980541995208041,0.0747934397565248,"79784/4628/3920/1605/5099/8828",6
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","12/1351","47/9521",0.25531914893617,1.79932910216231,2.23379330192198,0.0279245274124452,0.109476840423791,0.0835063618793218,"4190/32/3939/2271/3945/10873/1738/84532/97/4200/39/5162",12
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","25/1351","120/9521",0.208333333333333,1.46820256600049,2.09880701281963,0.0290074561510619,0.112444633394566,0.085770124633536,"5894/818/805/998/5609/10603/5601/596/801/5607/3551/27018/6196/4916/4792/5602/7189/4793/4794/7157/673/387/5603/814/396",25
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","23/1351","110/9521",0.209090909090909,1.47354148442231,2.03128848934132,0.0338733369633277,0.129847791692756,0.0990448449220108,"2872/3939/1387/5230/5579/3945/818/5209/2026/8453/596/3643/285/2064/3479/2475/5163/284/6513/5162/6194/7076/3099",23
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","25/1351","122/9521",0.204918032786885,1.4441336714759,2.00764957372941,0.0348137200536504,0.131986081522081,0.100675882167873,"5862/32/2308/55012/5209/6794/5515/3643/51552/55844/3479/2475/90993/6319/3156/8900/10891/6009/1994/948/10645/1375/6885/23417/7249",25
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","21/1351","99/9521",0.212121212121212,1.49489715810959,2.01277916252642,0.035902489981014,0.133819382136493,0.102074280805868,"3679/7170/783/1837/4000/7042/3693/488/3479/6547/785/1605/3655/7168/55799/3672/183/7169/779/3696/3691",21
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","9/1351","33/9521",0.272727272727273,1.92201063185519,2.15744971117932,0.0360730508367939,0.133819382136493,0.102074280805868,"1629/2805/2806/586/1738/3421/5162/3420/3419",9
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","29/1351","149/9521",0.194630872483221,1.37163622273335,1.85921730066159,0.0450953687534136,0.165509598084337,0.126246833016276,"5900/2534/5894/26052/2768/8395/2205/4254/2778/3643/10411/1607/1608/107/5330/2475/9265/375/5332/5331/6009/5156/387/9266/5321/183/552/2912/7249",29
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","41/1351","224/9521",0.183035714285714,1.28992082584329,1.78552990020248,0.0491262607127795,0.178405894167462,0.13608382468914,"119504/292/1387/7132/5567/1958/291/6929/4487/6416/5601/5901/7042/3551/5530/567/3133/545/51433/4792/5602/107/5902/90993/3689/7419/5532/7416/3126/3554/4085/7157/5534/8900/6513/10393/1388/472/8498/5533/4801",41
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","23/1351","115/9521",0.2,1.40947446336047,1.79642204461091,0.0529672904947083,0.189955456915304,0.144893559813351,"5567/5894/5579/3356/10681/2778/1559/10411/3751/3708/5330/5332/5331/260293/3760/1558/673/5743/5321/2561/779/3762/2562",23
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","6/1351","20/9521",0.3,2.11421169504071,2.02830458242787,0.0534077661472014,0.189955456915304,0.144893559813351,"2222/51478/1056/1718/6646/10682",6
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","18/1351","86/9521",0.209302325581395,1.47503141514468,1.79943318516931,0.0553783606499227,0.192795057423235,0.147059540368601,"3679/783/1837/4000/88/3693/488/83439/2697/6547/785/1605/3655/55799/3672/779/3696/3691",18
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","30/1351","158/9521",0.189873417721519,1.33810866774729,1.74265917310628,0.0558247527761606,0.192795057423235,0.147059540368601,"119504/1387/7529/6500/7534/4175/5933/5000/7042/5515/891/10735/9587/23244/545/8454/51433/9126/4173/1022/7029/4085/7157/3065/8900/10393/472/8556/546/5001",30
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","39/1351","214/9521",0.182242990654206,1.28433420726772,1.71067008756121,0.0569968864247209,0.192795057423235,0.147059540368601,"5058/25939/7132/6500/5894/5579/805/5609/8905/5601/10681/7133/7852/596/891/801/3551/5530/567/3133/3708/545/8454/4792/5602/2475/3985/7189/5532/5534/472/5747/5829/2923/5603/5533/6885/1072/9730",39
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","25/1351","128/9521",0.1953125,1.37643990562546,1.74354676318088,0.0574557322914926,0.192795057423235,0.147059540368601,"2983/5143/4830/5634/3251/1716/5149/53343/9615/2618/132/107/205/5139/5136/954/221264/318/956/2977/84284/9061/10846/29922/51292",25
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","24/1351","122/9521",0.19672131147541,1.38636832461686,1.74652869628616,0.0575591041002703,0.192795057423235,0.147059540368601,"5058/2534/5894/55012/998/5609/5601/5515/3551/5530/55844/4792/5602/5532/4793/4794/5534/387/5603/5533/6885/10892/5588/3937",24
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","24/1351","122/9521",0.19672131147541,1.38636832461686,1.74652869628616,0.0575591041002703,0.192795057423235,0.147059540368601,"1387/5567/5894/5579/6416/5601/2778/3708/112609/6750/3479/5602/107/5330/2475/90993/5332/6751/5331/1388/5747/5603/9021/779",24
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","16/1351","75/9521",0.213333333333333,1.50343942758451,1.77987296488213,0.0588441792931827,0.193345160534743,0.147479146098202,"2805/5634/5230/2026/2806/586/5053/440/384/3421/29968/6120/3420/5723/5832/3419",16
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","16/1351","75/9521",0.213333333333333,1.50343942758451,1.77987296488213,0.0588441792931827,0.193345160534743,0.147479146098202,"5567/482/5579/2778/3708/107/5330/90993/5332/5331/476/477/478/7270/7253/1388",16
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","9/1351","36/9521",0.25,1.76184307920059,1.86222961891165,0.0597721906025745,0.194541563753662,0.148391734365875,"6119/4175/79621/4173/6742/56655/6117/2237/5982",9
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","37/1351","203/9521",0.182266009852217,1.28449643212654,1.66609058652041,0.0623256003115579,0.200956374836332,0.153284801553266,"5228/3679/2316/5058/2534/5894/5579/8395/1277/998/5601/3693/596/55742/3912/2012/2064/3479/5602/394/3655/2317/5156/5747/673/387/5829/3672/3082/1293/340156/1284/3696/7408/4660/3691/857",37
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","5/1351","16/9521",0.3125,2.20230384900074,1.95719135414651,0.064730338602644,0.206777470536224,0.157724996595136,"2805/2806/5053/8639/221",5
"Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","6/1351","21/9521",0.285714285714286,2.01353494765782,1.89069594748867,0.0661294747307334,0.207474899547419,0.158256979059816,"80025/1807/586/60496/79717/79646",6
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","37/1351","204/9521",0.181372549019608,1.27819988098866,1.63331178721301,0.0661514172470033,0.207474899547419,0.158256979059816,"2260/2316/5058/5567/7430/5894/2017/5579/818/1277/998/9138/7042/3693/5727/3708/2064/5962/3479/2475/2099/960/7157/6194/5747/673/387/5829/5603/6385/288/7078/3082/1634/4660/6382/857",37
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","14/1351","65/9521",0.215384615384615,1.51789557592666,1.70364957051305,0.0691307478816969,0.21486583801068,0.163894613280457,"5567/2778/3777/3708/107/5330/6770/90993/5332/5331/1388/183/779/8911",14
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","27/1351","143/9521",0.188811188811189,1.33062274513052,1.61987220096141,0.0707800982398718,0.218027981185319,0.16630662180421,"3727/3455/7132/2534/5609/5601/7042/488/3551/5530/3708/4792/5602/7189/5532/8878/3554/5534/2274/2354/5603/814/5533/9021/27035/6885/3937",27
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","17/1351","83/9521",0.204819277108434,1.44343770344145,1.64993485259249,0.0727028985182997,0.221969026449676,0.16931275854285,"6647/54511/196743/2182/26061/2181/8799/23305/25824/55711/4358/55825/8504/570/5189/23417/54677",17
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","19/1351","95/9521",0.2,1.40947446336047,1.63102278391739,0.0735391503864864,0.222552691959104,0.169757964881086,"1051/3727/5601/3551/51433/4792/5602/7189/3326/1994/2354/5743/7128/5603/10758/2919/55540/6885/29761",19
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","13/1351","60/9521",0.216666666666667,1.52693066864051,1.66492893368889,0.074976275673908,0.224928827021724,0.171570424883085,"5894/5579/998/5530/5532/5534/5747/5743/5829/5603/5321/5533/7867",13
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","18/1351","90/9521",0.2,1.40947446336047,1.58710012242572,0.0799639886913788,0.236137218576759,0.180119922636734,"79813/2308/5567/6794/3643/3479/107/2475/90993/9474/7157/10891/6009/1388/814/10645/143686/7249",18
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","9/1351","38/9521",0.236842105263158,1.66911449608477,1.68056177935014,0.0800813176042921,0.236137218576759,0.180119922636734,"482/5579/6446/3643/3479/476/477/478/23327",9
"Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","10/1351","44/9521",0.227272727272727,1.60167552654599,1.62662845434445,0.0848156762356634,0.247978036451728,0.189151820329312,"4331/8148/2965/6880/2966/51616/2959/1022/2962/27097",10
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","8/1351","34/9521",0.235294117647059,1.65820525101232,1.56340490921757,0.0988376943512259,0.284837647073093,0.217267465349422,"84172/5440/10623/51728/5434/25885/246721/10621",8
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","26/1351","142/9521",0.183098591549296,1.29036394533001,1.41756738803943,0.100134542325628,0.284837647073093,0.217267465349422,"119504/7332/55284/6500/7323/7329/4591/8452/7337/7334/8453/25898/9063/8454/51433/55294/7189/7328/10393/8916/140739/9021/27338/23327/7321/134111",26
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","12/1351","57/9521",0.210526315789474,1.48365732985313,1.48926833772905,0.100923778441528,0.284837647073093,0.217267465349422,"84869/2182/2181/79071/6319/23305/39/51102/51495/1375/54995/23205",12
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","20/1351","105/9521",0.19047619047619,1.34235663177188,1.43441655875812,0.100929230644507,0.284837647073093,0.217267465349422,"55367/7132/7329/5579/596/3551/23085/4792/4067/7189/3554/23643/472/5743/7128/2919/6885/10892/5588/1457",20
NA,NA,"hsa04082","Neuroactive ligand signaling","35/1351","199/9521",0.175879396984925,1.23948759340745,1.38832175518346,0.10155081330432,0.284837647073093,0.217267465349422,"2743/2901/5567/5579/3356/2554/2893/10681/2778/2566/6511/5368/2557/107/5330/116443/5332/5331/63910/2903/2902/6863/1128/1131/140679/4987/5031/2561/2558/2563/60482/2912/5028/2562/2892",35
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","18/1351","93/9521",0.193548387096774,1.36400754518756,1.434422846104,0.102511873746301,0.285214487439305,0.217554910327464,"6775/4094/5601/4853/84441/3551/5530/4792/5602/5532/4793/4794/3126/5534/5603/5533/5588/182",18
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","25/1351","137/9521",0.182481751824818,1.28601684613182,1.37117541528128,0.108404780283819,0.297456241801155,0.226892632952826,"5783/10376/6709/55367/4000/10038/7846/7132/8795/5894/84790/4170/7277/5601/596/3551/3708/113457/4792/5602/8996/7157/843/472/2021",25
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","20/1351","106/9521",0.188679245283019,1.32969288996271,1.38799362779317,0.108636192657813,0.297456241801155,0.226892632952826,"2260/2308/1387/5894/6573/596/83439/3551/2064/6935/4792/3479/2475/90993/3326/7157/5156/2263/673/2350",20
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","15/1351","76/9521",0.197368421052632,1.39092874673731,1.39135688897655,0.112771085729285,0.305957705653682,0.233377349850253,"10580/5467/10873/2182/376497/2181/5465/6319/23305/948/1375/440503/729359/23205/2172",15
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","22/1351","119/9521",0.184873949579832,1.30287555436682,1.35195644276359,0.113514742967163,0.305957705653682,0.233377349850253,"1051/7132/5609/6416/5601/7133/3551/4792/5602/90993/10059/843/1388/5743/7128/5603/9021/2919/64285/6885/182/6352",22
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","39/1351","227/9521",0.171806167400881,1.21078202799688,1.30701416284731,0.114630682961768,0.306570431176821,0.233844722484227,"7132/5567/5894/5579/2768/805/10681/9138/2778/7852/801/3551/5530/567/3133/3708/4792/107/5330/2475/90993/5332/5331/5532/3554/7157/5534/6009/5156/1388/5747/5743/387/5829/2923/5603/5533/7249/6352",39
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","33/1351","189/9521",0.174603174603175,1.23049357912422,1.30147997166343,0.117466008100363,0.31173671380481,0.237785441498711,"7295/3455/3428/23710/55914/5601/596/3551/2633/3708/79792/4792/5602/5330/5332/9474/7419/5331/10059/7189/4793/3326/7416/114548/57506/387/7128/22861/5603/84674/2919/6885/6352",33
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","25/1351","139/9521",0.179856115107914,1.26751300661913,1.29193215854291,0.122725501226633,0.323208381093042,0.24653575979637,"119504/5567/7529/6500/7534/818/805/5515/891/801/5530/3708/6196/8454/51433/3479/107/9126/5532/4085/5534/80315/10393/5603/5533",25
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","15/1351","78/9521",0.192307692307692,1.35526390707738,1.28108667701997,0.133045523349935,0.347732617846422,0.265242271431291,"1213/23157/2017/26052/998/10094/26084/23176/10097/10801/5747/387/5829/10163/857",15
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","19/1351","103/9521",0.184466019417476,1.30000071863345,1.24479170260522,0.136056530440377,0.350294798521866,0.267196642655886,"8189/10921/7919/124540/10284/55012/26528/11269/5515/1477/55844/23049/29107/29101/11052/80336/23283/81608/11051",19
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","19/1351","103/9521",0.184466019417476,1.30000071863345,1.24479170260522,0.136056530440377,0.350294798521866,0.267196642655886,"7132/6416/5601/2778/7042/5515/3551/55844/4792/5602/107/5330/5332/5331/7189/3827/5603/10333/6352",19
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","7/1351","31/9521",0.225806451612903,1.59134213605215,1.34097810488931,0.140077483590287,0.3579757913974,0.273055523567811,"1807/54498/2571/2572/8639/23417/221",7
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","8/1351","37/9521",0.216216216216216,1.52375617660592,1.29798408482678,0.14443667937418,0.366401870471267,0.279482738727129,"2805/56954/2806/2744/440/2571/2572/27165",8
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","12/1351","61/9521",0.19672131147541,1.38636832461686,1.2309941369751,0.147740886991329,0.370507485632272,0.282614405516607,"261729/491/3163/482/492/4501/55503/6547/476/477/478/475",12
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","11/1351","55/9521",0.2,1.40947446336047,1.23839741707924,0.148202994252909,0.370507485632272,0.282614405516607,"6119/5889/545/197342/55215/5429/6117/3280/29089/2067/83990",11
"Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","4/1351","15/9521",0.266666666666667,1.87929928448063,1.38585746250663,0.152943608512372,0.379608236955169,0.289556244817062,"27010/205/52/84284",4
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","19/1351","105/9521",0.180952380952381,1.27523880018329,1.15320416184808,0.155410277429262,0.38297532652211,0.292124581633951,"8844/5058/5894/805/5601/801/3551/5530/3708/4792/5602/5532/114548/5534/5743/387/5603/5533/10892",19
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","18/1351","99/9521",0.181818181818182,1.28134042123679,1.14422992365704,0.158354692670202,0.384734992755069,0.293466813695705,"5058/5894/5579/8395/998/10094/2934/50807/273/4067/3985/4651/3636/10097/5321/10163/1072/7408",18
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","18/1351","99/9521",0.181818181818182,1.28134042123679,1.14422992365704,0.158354692670202,0.384734992755069,0.293466813695705,"5900/6581/5894/5579/8395/56994/5601/1607/1608/5602/2475/204962/6009/5156/5321/60482/10163/7249",18
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","12/1351","62/9521",0.193548387096774,1.36400754518756,1.16928058413888,0.160979386415683,0.388376841352523,0.296244730246013,"6647/2308/3312/5567/3643/3479/107/2475/3304/9474/3303/3065",12
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","11/1351","56/9521",0.196428571428571,1.38430527651475,1.1728572915451,0.162231737442848,0.388680204290157,0.296476128367778,"11127/91653/5567/408/8452/596/5727/2737/8454/84455/2736",11
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","27/1351","157/9521",0.171974522292994,1.21196848760296,1.08899414622994,0.164520501870894,0.388764199626427,0.296540198036939,"1051/5467/7386/8754/818/51454/1850/6446/3693/488/51552/27072/51761/5175/384/55754/121601/23166/6513/84466/5747/5743/5031/5603/948/1375/64601",27
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","27/1351","157/9521",0.171974522292994,1.21196848760296,1.08899414622994,0.164520501870894,0.388764199626427,0.296540198036939,"26524/286204/1856/23513/56288/7529/655/657/7534/7003/6657/8313/7042/5515/83439/55844/10413/23286/3689/3996/8994/25937/2736/3993/8463/1741/174",27
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","14/1351","75/9521",0.186666666666667,1.31550949913644,1.11546056368855,0.169785897770157,0.398477107011592,0.303948975599994,"4194/55367/8795/51512/596/891/25898/545/3479/7157/472/10572/143686/7249",14
"Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","12/1351","63/9521",0.19047619047619,1.34235663177188,1.10862453387192,0.174795028640843,0.404726744168396,0.308716051997251,"56950/79813/7799/5352/54904/1738/64754/2122/51111/39/55217/2145",12
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","12/1351","63/9521",0.19047619047619,1.34235663177188,1.10862453387192,0.174795028640843,0.404726744168396,0.308716051997251,"6119/5440/4331/2965/2966/1022/56655/5434/6117/2067/246721/5982",12
"Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","7/1351","33/9521",0.212121212121212,1.49489715810959,1.15802973841922,0.178305583135063,0.410102841210644,0.312816812517654,"143187/6845/9342/6843/9570/10791/10652",7
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","29/1351","172/9521",0.168604651162791,1.18821975108877,1.01293588899502,0.181941131641615,0.41569331401561,0.317081093833417,"165324/27248/3312/6500/7323/51360/5609/5601/56893/596/258010/133022/8454/5602/3304/7991/3303/3326/55768/6400/56681/1388/92552/8720/2923/54431/80267/22824/7321",29
